brook,to tolerate endureÿ,\n
buoyant,able to float light-heartedÿ,\n
burgeon,grow forth send out budsÿ,\n
burnish,to polish rub to a shineÿ,\n
cabal,a scheme or plot a group of plottersÿ,\n
cadge,to beg to get by beggingÿ,\n
cajole,use flattery or deceit to persuadeÿ,\n
calipers,metal supports attached to the legs measuring instrumentÿ,\n
calumny,slander aspersionÿ,\n
candid,frank straight-forwardÿ,\n
cant,insincere talk/jargonÿ,\n
cantankerous,bad-tempered/quarrelsomeÿ,\n
canvass,discuss thoroughly sort of toutingÿ,\n
castigate,to chastise correct by punishingÿ,\n
castigation,severe punishmentÿ,\n
catalyst,substance that causes speeding upÿ,\n
caustic,biting sarcasticÿ,\n
censure,expression of blame or disapproval a rebukeÿ,\n
centurion,leader of a unit of 100 soldiersÿ,\n
chary,cautious waryÿ,\n
chastened,corrected punishedÿ,\n
chastisement,punishmentÿ,\n
chauvinist,a blindly devoted patriotÿ,\n
chicanery,legal trickery/false argumentÿ,\n
chisel,steel tool for shaping materialsÿ,\n
churl,bad-tempered personÿ,\n
clamor,shout complain with a lot of noiseÿ,\n
clientele,customersÿ,\n
clinch,come to grips/settle conclusivelyÿ,\n
cling,to resist separationÿ,\n
clot,half-solid lump formed from liquidÿ,\n
cloture,closing device (in Parliament) to end a debate by votingÿ,\n
coagulation,change to a thick and solid stateÿ,\n
coalescing,coming together and uniting into one substanceÿ,\n
coax,get smb to do smth by kindnessÿ,\n
coda,passage that completes a piece of musicÿ,\n
coddle,treat with care and tendernessÿ,\n
coerce,compel to force to make obedientÿ,\n
coeval,of the same period coexistingÿ,\n
cogent,strong convincingÿ,\n
cogitate,think deeply mediateÿ,\n
cognizant,being fully aware ofÿ,\n
colander,bowl-shaped vessel with many holes used to drain off waterÿ,\n
collusion,secret agreement for a deceitful purposeÿ,\n
combustion,process of burningÿ,\n
commemorate,keep the memory ofÿ,\n
commodious,having plenty of space for what is neededÿ,\n
commuter,person who travels regularlyÿ,\n
complaisance,tending to comply obliging willingness to pleaseÿ,\n
compunction,feeling of regret for one?s actionÿ,\n
conceal,hide keep secretÿ,\n
conceit,over-high opinion of too much prideÿ,\n
conciliatory,reconciling soothing comforting mollifyingÿ,\n
concord,agreement or harmonyÿ,\n
concur,agree in opinion happen togetherÿ,\n
condense,increase in density strength make laconicÿ,\n
condone,forgiveÿ,\n
congeal,make or become stiff and solidÿ,\n
conjoin,to join togetherÿ,\n
connoisseur,a person with good judgement (e.g.. in art)ÿ,\n
connotation,suggestion in addition toÿ,\n
consequential,pompous self importantÿ,\n
console,give comfort or sympathy toÿ,\n
conspicuous,easily seen remarkableÿ,\n
consternation,surprise and fear dismayÿ,\n
constrain,compelÿ,\n
constrict,make tight or smallerÿ,\n
consume,get to the end ofÿ,\n
consummate,perfect/make perfect/completeÿ,\n
contemn,to scorn or despiseÿ,\n
contentious,argumentative pugnacious combative quarrelsomeÿ,\n
contiguous,touching neighboring nearÿ,\n
contrite,filled with deep sorrow for wrongdoingÿ,\n
contumacious,insubordinate rebelliousÿ,\n
conundrum,a riddle dilemma enigmaÿ,\n
conviction,convincing firm beliefÿ,\n
convoke,call together summonÿ,\n
convoluted,complicated coiled twistedÿ,\n
cordial,warm and sincereÿ,\n
cordon,line (of police acting as a guard)ÿ,\n
cornucopia,abundant supplyÿ,\n
corporeal,physical of or for the bodyÿ,\n
correlate,have a mutual relationÿ,\n
corroboration,additional strengthening evidenceÿ,\n
countenance,to favor or approve ofÿ,\n
counterfeit,forgeryÿ,\n
countervail,counterbalanceÿ,\n
covert,disguisedÿ,\n
covetous,eagerly desirousÿ,\n
cower,crouch shrink backÿ,\n
coy,shy/modest (esp of a girl)ÿ,\n
crass,very great (es. stupidity)ÿ,\n
cravat,piece of linen worn as a necktieÿ,\n
craven,cowardlyÿ,\n
crease,line made by crushing white line on the ground in cricketÿ,\n
credulity,too great a readiness to believe thingsÿ,\n
credulous,ready to believe thingsÿ,\n
crush,press lose shape subdue overwhelmÿ,\n
cryptic,secret with a hidden meaningÿ,\n
cumbersome,burdensome heavy and awkward to carryÿ,\n
curmudgeon,bad-tempered personÿ,\n
curriculum,course of studyÿ,\n
cursory,quick hurriedÿ,\n
curtail,make shorter then was plannedÿ,\n
dainty,pretty/delicate(food)/difficult to pleaseÿ,\n
daunt,intimidate make fearfulÿ,\n
dawdler,person who is slow waste of timeÿ,\n
dearth,shortageÿ,\n
debacle,a breakup overthrow sudden disasterÿ,\n
decorum,propriety propernessÿ,\n
decree,order given by authorityÿ,\n
decry,disapprove ofÿ,\n
defer,postpone give way (to show respect)ÿ,\n
deferential,showing respectÿ,\n
defiance,open disobedience or resistanceÿ,\n
delineate,to portray depict sketch outÿ,\n
deluge,great flood heavy rush of waterÿ,\n
demagogue,person appealing not to reasonsÿ,\n
demur,to hesitate raise objectionsÿ,\n
denigrate,blacken belittle sully defameÿ,\n
denouement,an outcome or solution the unraveling of a plotÿ,\n
deplete,use until none remainsÿ,\n
deposition,dethronement depositingÿ,\n
deprave,make morally bad corruptÿ,\n
deprecate,protest against express disapproval ofÿ,\n
dereliction,deserting and leaving to fall into ruinsÿ,\n
derision,ridicule mockery deridingÿ,\n
derivative,unoriginal obtained from another sourceÿ,\n
derogatory,insulting tending to damageÿ,\n
descry,catch sight of see smth in the distanceÿ,\n
desiccant,substance used to absorb moistureÿ,\n
desuetude,cessation of use disuseÿ,\n
desultory,aimless haphazard digressing at randomÿ,\n
deter,discourage hinderÿ,\n
detraction,slandering verbal attack aspersionÿ,\n
detumescence,diminishing or lessening of swellingÿ,\n
deviance,being different in moral standards (from normal)ÿ,\n
dexterity,skill (esp. in handling)ÿ,\n
diaphanous,transparent gauzyÿ,\n
diatribe,bitter and violent attack in wordsÿ,\n
diffidence,shynessÿ,\n
dilate,speak comprehensively become wider largeÿ,\n
disallow,refuse to allow or accept as a correctÿ,\n
discern,see with an effort but clearlyÿ,\n
discomfit,confuse embarrassÿ,\n
disconcert,upset the self-possession ofÿ,\n
discountenance,refuse to approve ofÿ,\n
discourse,speech lectureÿ,\n
discredit,refuse to believeÿ,\n
discreet,careful/prudentÿ,\n
discrete,individually distinctÿ,\n
disdain,look on with contemptÿ,\n
disencumber,free from encumbranceÿ,\n
disheveled,untidyÿ,\n
disingenuous,sophisticated artful trying to deceive cunningÿ,\n
disinter,dig up from the earthÿ,\n
dislodge,move force from the place occupiedÿ,\n
dismal,sad gloomy miserableÿ,\n
disparate,essentially differentÿ,\n
disproof,proof to the contraryÿ,\n
dissemble,speak or behave so as to hide smth (in mind)ÿ,\n
disseminate,distribute (esp. ideas)ÿ,\n
dissent,have a different opinion refuse to assentÿ,\n
dissolution,disintegration looseness in moralsÿ,\n
distraught,distracted violently upset in mindÿ,\n
divergence,getting farther apart from a pointÿ,\n
divestiture,taking off getting rid of giving upÿ,\n
divulge,make known smth secretÿ,\n
doggerel,trivial poorly constructed verseÿ,\n
dogmatic,positive certain arbitrary without room for discussionÿ,\n
dolt,stupid fellowÿ,\n
dormant,in a state of inactivity but awaiting developmentÿ,\n
dote,show much fondness center one?s attentionÿ,\n
drawl,slow way of speakingÿ,\n
droll,jestingÿ,\n
drone,male bee person who isn?t self-employedÿ,\n
drowsiness,feeling sleepy half asleepÿ,\n
dubious,feeling doubtÿ,\n
dud,no use person smth that failsÿ,\n
dulcet,melodious harmoniousÿ,\n
dupe,cheat make a fool ofÿ,\n
duplicity,deliberate deceptionÿ,\n
duress,threats to compel smbÿ,\n
dwarf,person or smb much below the usual sizeÿ,\n
dynamo,a generator something that produces electric currentÿ,\n
earthenware,dishes made of baked clayÿ,\n
ebullience,exuberance outburst of feelingÿ,\n
ebullient,overflowing with enthusiasm showing excitementÿ,\n
ecumenical,representing the whole Christian worldÿ,\n
edacious,voracious devouringÿ,\n
eddy,circular or spiral movement (e.g.. of wind)ÿ,\n
edible,fit to be eaten/not poisonousÿ,\n
effete,infertile worn out weakÿ,\n
efficacy,production of a desired resultÿ,\n
effluvia,outflow in a stream of particles a noxious odor or vaporÿ,\n
effrontery,boldness impudence arroganceÿ,\n
egress,way out exitÿ,\n
elaborate,worked out with much care in great detailÿ,\n
elegy,a lament a melancholy compositionÿ,\n
elicit,draw outÿ,\n
eloquence,fluent speaking skillful use of languageÿ,\n
emaciate,make thin and weakÿ,\n
embellish,make beautifulÿ,\n
embezzle,use in a wrong way for one?s own benefitÿ,\n
emote,stir up exciteÿ,\n
empirical,relying on experimentÿ,\n
encapsulate,enclose in capsuleÿ,\n
encomium,warm or glowing praise eulogy panegyricÿ,\n
encumbrance,burden things that get on the way ofÿ,\n
endearing,making dear or likedÿ,\n
endemic,epidemicÿ,\n
endorse,write one?s name on the back ofÿ,\n
enduring,lastingÿ,\n
enervate,weaken deprive of strength attenuateÿ,\n
engender,cause produce give rise toÿ,\n
engrave,impress deeplyÿ,\n
engrossing,taken up all the time or attention writing in large or formal,\n
engulf,swallow upÿ,\n
enigma,smth that is puzzlingÿ,\n
enmity,hatred being an enemyÿ,\n
ensign,flag/badgeÿ,\n
entangle,put into difficultiesÿ,\n
enthral,please greatly/enslave (fig)ÿ,\n
entice,tempt or persuadeÿ,\n
entreat,ask earnestlyÿ,\n
enunciate,pronounce (words)/express a theoryÿ,\n
enzyme,catalystÿ,\n
epicurean,devoted to pleasure (sensuous enjoyment)ÿ,\n
epistle,letterÿ,\n
epithet,adjectiveÿ,\n
epitome,brief summary representative example a typical modelÿ,\n
equable,steady regularÿ,\n
equanimity,calmness of temperamentÿ,\n
equilibrium,state of being balancedÿ,\n
equipoise,equal distribution of weight equilibriumÿ,\n
equivocal,having a double or doubtful meaning suspiciousÿ,\n
equivocate,try to deceive by equivocal languageÿ,\n
eradicate,get rid of pull up by the rootsÿ,\n
erratic,irregular in behaviour or opinionÿ,\n
erudite,learned scholarlyÿ,\n
eschew,avoidÿ,\n
esoteric,abstruse intended only for a small circle ofÿ,\n
espouse,marry give one?s support toÿ,\n
eulogy,formal praise panegyricÿ,\n
euphoria,elation state of pleasant excitementÿ,\n
euthanasia,easy and painless deathÿ,\n
evasive,tending to evadeÿ,\n
evince,to show clearly to indicateÿ,\n
evoke,call up bring outÿ,\n
excoriation,severe criticismÿ,\n
exculpate,to clear from a charge of guiltÿ,\n
exhaustive,complete thoroughÿ,\n
exigency,emergency an urgent situationÿ,\n
exoneration,set smb clear free (e.g.. from blame)ÿ,\n
exorbitant,much too high or greatÿ,\n
expatiate,to roam wander freelyÿ,\n
expedient,likely to be useful for a purposeÿ,\n
expiation,ending expiringÿ,\n
exploit,brilliant achievement develop use selfishlyÿ,\n
expostulate,argue earnestly to dissuade correct or protestÿ,\n
expurgate,to remove obscenity purify censorÿ,\n
exscind,to cut out cut awayÿ,\n
extant,still in existenceÿ,\n
extempore,without previous thought or preparationÿ,\n
extenuate,reduce the strength of lessen seriousness partially excuseÿ,\n
extinct,no longer activeÿ,\n
extinguish,end the existence of/wipe or put outÿ,\n
extirpate,to destroy exterminate cut out exscindÿ,\n
extol,praise highlyÿ,\n
extort,obtain by threats violenceÿ,\n
extralegal,outside the lawÿ,\n
extricable,that can be freedÿ,\n
extrovert,cheerful personÿ,\n
exuberance,state of growing vigorously being full of lifeÿ,\n
facetious,humorous funny jocularÿ,\n
facile,easily doneÿ,\n
fallacious,based on errorÿ,\n
falter,waver/move in an uncertain mannerÿ,\n
fatuous,without sense foolish self-satisfactionÿ,\n
fawn,young deer try to win smb?s favorÿ,\n
feckless,lacking purpose or vitality ineffective carelessÿ,\n
fecund,fertileÿ,\n
feint,pretendÿ,\n
felicitous,apt suitably expressed well chosen aproposÿ,\n
felon,person guilty of murderÿ,\n
ferment,substance become excitedÿ,\n
ferocity,savage crueltyÿ,\n
ferret,discover by searching searchÿ,\n
fervid,showing earnest feelingÿ,\n
fervor,warmth of feelings earnestnessÿ,\n
fetid,stinkingÿ,\n
fetter,to shackle put in chainsÿ,\n
feud,bitter quarrel over a long period of timeÿ,\n
fidelity,loyalty accuracyÿ,\n
fidget,move restlessly make nervousÿ,\n
figurehead,carved image on the prow of a shipÿ,\n
finesse,delicate way of dealing with a situationÿ,\n
finical,too fussy about food clothing etc.ÿ,\n
finicky,finicalÿ,\n
fission,splitting or division (esp. of cells)ÿ,\n
fixate,stare atÿ,\n
flak,criticism/anti-aircraft gunsÿ,\n
flamboyant,brightly colored floridÿ,\n
flaunting,show off complacentlyÿ,\n
flax,pale yellow (hair) a plantÿ,\n
fledged,able to fly trained experiencedÿ,\n
fleet,number of ships quick-movingÿ,\n
flinch,draw move back winceÿ,\n
flop,fail/move/fall clumsilyÿ,\n
florid,very much ornamented naturally red (e.g.. of face)ÿ,\n
flout,reject mock to go against (as in going against tradition)ÿ,\n
fluke,lucky strokeÿ,\n
fluster,make nervous or confusedÿ,\n
foible,defect of character (a person is wrongly proud)ÿ,\n
foil,prevent from carrying out contrastÿ,\n
foment,put smth warm (to lessen the pain)ÿ,\n
foolproof,incapable of failure or errorÿ,\n
foppish,like a man who pays too much attention to his clothesÿ,\n
forage,food for horses and cattleÿ,\n
forbear,refrain from be patient ancestorÿ,\n
forbearance,patience willingness to waitÿ,\n
ford,shallow place in a river (to cross)ÿ,\n
forestall,prevent by taking action in advance preemptÿ,\n
forfeit,suffer the loss of smthÿ,\n
forge,workshop for the shaping of metal to shape metal leadÿ,\n
forgery,counterfeitÿ,\n
forswear,renounce disallow repudiateÿ,\n
foster,nurture care forÿ,\n
fracas,noisy quarrelÿ,\n
fragile,easily injured broken or destroyedÿ,\n
fragrant,sweet-smellingÿ,\n
frantic,wildly excited with joy pain anxietyÿ,\n
frenetic,frantic frenziedÿ,\n
fret,worry irritation wear awayÿ,\n
fringe,edge ornamental border part of hair over the foreheadÿ,\n
froward,intractable not willing to yield or comply stubbornÿ,\n
frugal,careful economicalÿ,\n
fulmination,bitter protestÿ,\n
fulsome,disgusting offensive due to excessivenessÿ,\n
gainsay,to deny to oppose,\n
garble,make unfair selection from factsÿ,\n
garment,article of clothingÿ,\n
garner,to gather and save to store upÿ,\n
garrulity,talkativenessÿ,\n
garrulous,too talkativeÿ,\n
gaucherie,socially awkward tactless behaviorÿ,\n
germane,relevant pertinent toÿ,\n
gist,the point general senseÿ,\n
glean,gather facts in small quantitiesÿ,\n
glib,ready and smooth but not sincereÿ,\n
glimmer,weak/unsteady lightÿ,\n
gloat,over look at with selfish delightÿ,\n
glut,supply to much fill to excessÿ,\n
gnaw,waste away bite steadilyÿ,\n
goad,smth urging a person to actionÿ,\n
gorge,eat greedily/narrow opening with a streamÿ,\n
gossamer,soft light delicate materialÿ,\n
gouge,tool for cutting grooves in woodÿ,\n
grandiloquent,using pompous wordsÿ,\n
grave,serious requiring considerationÿ,\n
graze,touch or scrape lightly in passingÿ,\n
gregarious,living in societies liking the companyÿ,\n
grievous,causing grief or pain serious dire graveÿ,\n
grovel,crawl humble oneselfÿ,\n
guile,deceit cunningÿ,\n
gullible,easily gulledÿ,\n
gush,burst out suddenly/talk ardentlyÿ,\n
gust,outburst of feeling sudden rain wind fire etc.ÿ,\n
hack,cut roughly hired horseÿ,\n
halcyon,calm and peacefulÿ,\n
hallow,to make holy consecrateÿ,\n
harangue,a long passionate speechÿ,\n
harbinger,smth or smb that foretells the coming ofÿ,\n
harrow,to distress create stress or tormentÿ,\n
haughty,arrogant conceitedÿ,\n
heed,attention/give notice toÿ,\n
heinous,odious (of crime)ÿ,\n
heresy,belief contrary to what is generally acceptedÿ,\n
hermetic,sealed by fusionÿ,\n
heterogeneous,made up of different kindsÿ,\n
hew,make by hard work cut (by striking)ÿ,\n
highbrow,(person) with superior tastesÿ,\n
hirsute,hairy shaggyÿ,\n
hoax,mischievous trick played on smb for a jokeÿ,\n
hoi,polloi the masses the rabbleÿ,\n
hollow,not soled with holeÿ,\n
holster,leather case for a pistolÿ,\n
homiletics,act of preachingÿ,\n
hone,stone used for sharpening toolsÿ,\n
hoodwink,trick misleadÿ,\n
hospitable,liking to give hospitalityÿ,\n
hubris,arrogant prideÿ,\n
hush,make or become silentÿ,\n
husk,worthless outside part of anythingÿ,\n
hypocrisy,falsely making oneself appear to be goodÿ,\n
iconoclast,person who attacks popular beliefsÿ,\n
idiosyncrasy,personal mannerismÿ,\n
idolatry,excessive admiration ofÿ,\n
idyll,a carefree episode or experienceÿ,\n
ignoble,dishonorable common undignifiedÿ,\n
ignominious,shameful dishonorable undignified disgracefulÿ,\n
illicit,unlawful forbiddenÿ,\n
imbroglio,complicated and embarrassing situationÿ,\n
immaculate,pure faultlessÿ,\n
imminent,likely to come or happen soonÿ,\n
immutable,that cannot be changedÿ,\n
impair,worsen diminish in valueÿ,\n
impassive,unmoved feeling no sign of passionÿ,\n
impecunious,having little or no moneyÿ,\n
impede,hinder get in the way ofÿ,\n
impediment,smth that hinders (e.g. stammer)ÿ,\n
impending,imminent being about to happen expectedÿ,\n
imperative,urgent essentialÿ,\n
imperious,commanding haughty arrogantÿ,\n
impermeable,that cannot be permeatedÿ,\n
imperturbable,calm not capable of being excitedÿ,\n
impervious,not allowing to pass through (of materials)ÿ,\n
imperviousness,haughty arrogant commandingÿ,\n
impetuous,having sudden energy impulsive thrusting ahead forcefulÿ,\n
impiety,lack of reverence or dutifulnessÿ,\n
implacable,incapable of being placated unpleasableÿ,\n
implicate,show that smb has a shareÿ,\n
implicit,implied though not plainly expressed,\n
implosion,collapse bursting inwardÿ,\n
importune,beg urgently solicit (of a prostitute)ÿ,\n
imprecation,an invocation of evil a curseÿ,\n
impromptu,without preparationÿ,\n
impudent,rash indiscreetÿ,\n
impugned,challenged to be doubtedÿ,\n
impute,to attribute to a cause or source ascribeÿ,\n
inadvertent,not paying proper attentionÿ,\n
inane,silly senselessÿ,\n
inasmuch,since becauseÿ,\n
incense,make angryÿ,\n
incessant,often repeated continualÿ,\n
inchoate,not yet fully formed rudimentary elementaryÿ,\n
incipient,beginningÿ,\n
incise,engrave make a cut inÿ,\n
incite,stir up rouseÿ,\n
inclined,directing the mind in a certain directionÿ,\n
incongruous,out of place not in harmony or agreementÿ,\n
incorrigibility,cannot be cured or correctedÿ,\n
incredulous,skeptical unwilling to believeÿ,\n
inculcate,fix firmly by repetitionÿ,\n
incumbents,official dutiesÿ,\n
incursion,a raid a sudden attackÿ,\n
indefatigability,not easily exhaustible tirelessnessÿ,\n
indelible,that cannot be rubbed outÿ,\n
indigence,povertyÿ,\n
indigenous,nativeÿ,\n
indistinct,not easily heard seen clearly markedÿ,\n
indolence,lazinessÿ,\n
indomitable,not easily discouraged or subduedÿ,\n
indulge,gratify give way to satisfy allow oneselfÿ,\n
indulgent,inclined to indulgeÿ,\n
ineffable,to great to be described in wordsÿ,\n
ineluctable,certain inevitableÿ,\n
inept,unskillful said or done at the wrong timeÿ,\n
ineptitude,quality of being unskillfulÿ,\n
inferno,hellÿ,\n
infuriate,fill with fury or rageÿ,\n
infuse,put pour fillÿ,\n
ingenuous,naive young artless frank honest sincereÿ,\n
ingest,take in by swallowingÿ,\n
inimical,harmful or unfriendlyÿ,\n
inimitable,defying imitation unmatchableÿ,\n
innocuous,causing no harmÿ,\n
inscrutable,incapable of being discovered or understoodÿ,\n
insensible,unconscious unresponsive unaffectedÿ,\n
insinuate,suggest unpleasantly make a way for smth gently,\n
insipid,without taste or flavorÿ,\n
insouciant,unconcerned carefreeÿ,\n
insularity,narrow-mindedness isolatedÿ,\n
insurrection,rising of people to open resistance toÿ,\n
interdict,prohibit forbidÿ,\n
interim,as an installmentÿ,\n
intersperse,place here and thereÿ,\n
intransigence,unwillingness to compromise stubbornness intractabilityÿ,\n
intransigent,uncompromisingÿ,\n
intrepid,fearless brave undauntedÿ,\n
introspection,examining one?s own thoughts and feelingsÿ,\n
inundate,flood cover by overflowingÿ,\n
inured,accustomed to adaptedÿ,\n
invective,abusive language cursesÿ,\n
inveigh,to attack verbally denounce deprecateÿ,\n
inveterate,deep-rooted. long-establishedÿ,\n
invincible,too strong to be defeatedÿ,\n
involute,complexÿ,\n
irascible,irritable easily angeredÿ,\n
irate,angryÿ,\n
ire,angerÿ,\n
irksome,tiresomeÿ,\n
irresolute,hesitating undecidedÿ,\n
irrevocable,final and unalterableÿ,\n
itinerate,to travel from place to place to peregrinateÿ,\n
jabber,talk excitedly utter rapidlyÿ,\n
jibe,gibe make fun ofÿ,\n
jocular,meant as a jokeÿ,\n
judicious,sound in judgment wiseÿ,\n
knit,draw together unite firmlyÿ,\n
labyrinthine,to entangle the state of affairsÿ,\n
lachrymose,causing tears tearfulÿ,\n
lackluster,(of eyes) dullÿ,\n
lament,show feel great sorrowÿ,\n
lassitude,weariness tirednessÿ,\n
latent,present but not yet active developed or visibleÿ,\n
laudatory,expressing or giving praiseÿ,\n
lavish,giving or producing freely liberally or generouslyÿ,\n
legacy,smth handed down from ancestorsÿ,\n
levee,formal reception/embankmentÿ,\n
levity,lack of seriousnessÿ,\n
libel,statement that damages reputationÿ,\n
liberality,free giving generosityÿ,\n
libertine,immoral personÿ,\n
lien,legal claim until a debt on it is repaidÿ,\n
limn,paint portrayÿ,\n
limp,lacking strength walking unevenlyÿ,\n
lionize,treat as a famous personÿ,\n
lithe,bending twistingÿ,\n
loll,rest to sit or stand in a lazy way hang (dog?s tongue),\n
lope,move along with long stridesÿ,\n
loquacious,talkative garrulousÿ,\n
lucubrate,write in scholarly fashionÿ,\n
luculent,easily understood lucid clearÿ,\n
lugubrious,mournful excessively sadÿ,\n
lull,become quiet or less activeÿ,\n
lumber,move in a clumsy/noisy wayÿ,\n
luminary,star light-giving bodyÿ,\n
lurk,be out of view ready to attackÿ,\n
lustrous,being bright polishedÿ,\n
macabre,gruesome suggesting deathÿ,\n
macerate,make or become soft by soaking in waterÿ,\n
machination,plot scheme (esp. evil)ÿ,\n
maladroit,tactless clumsyÿ,\n
malapropism,misuse of a word (for one that resembles it)ÿ,\n
malevolence,wishing to do evilÿ,\n
malign,injurious speak ill of smb tell lieÿ,\n
malinger,to fake illness or injury in order to shirk a dutyÿ,\n
malleable,yielding easily shaped moldable adaptingÿ,\n
manacle,chains for the hands or feetÿ,\n
massacre,cruel killing of a large number of peopleÿ,\n
matriculation,be admitted enter a university as a studentÿ,\n
maudlin,sentimental in a silly or tearful wayÿ,\n
maul,hurt by rough handlingÿ,\n
maverick,rebel nonconformistÿ,\n
mellifluous,sweetly flowingÿ,\n
mendacity,dishonestyÿ,\n
mendicant,a beggarÿ,\n
mercurial,quick changeable in character fleetingÿ,\n
meretricious,attractive on the surface but of little valueÿ,\n
mesmerize,hypnotizeÿ,\n
meticulous,giving great attention to detailsÿ,\n
mettle,quality of endurance or courageÿ,\n
mettlesome,courageous high-spiritedÿ,\n
middling,fairly good but not very goodÿ,\n
minatory,menacing threateningÿ,\n
mince,pronounce or speak affectedly euphemizeÿ,\n
